file;run;n;m;objective;time
ta58.txt;14;50;20;3712;67
ta58.txt;15;50;20;3717;57
ta58.txt;16;50;20;3732;67
ta58.txt;17;50;20;3718;70
ta58.txt;18;50;20;3718;72
ta58.txt;19;50;20;3724;74
ta59.txt;0;50;20;3764;71
ta59.txt;1;50;20;3756;82
ta59.txt;2;50;20;3760;55
ta59.txt;3;50;20;3767;61
ta59.txt;4;50;20;3763;51
ta59.txt;5;50;20;3771;45
ta59.txt;6;50;20;3770;48
ta59.txt;7;50;20;3766;53
ta59.txt;8;50;20;3786;39
ta59.txt;9;50;20;3762;46
ta59.txt;10;50;20;3760;64
ta59.txt;11;50;20;3774;81
ta59.txt;12;50;20;3768;63
ta59.txt;13;50;20;3766;71
ta59.txt;14;50;20;3765;72
ta59.txt;15;50;20;3778;64
ta59.txt;16;50;20;3762;53
ta59.txt;17;50;20;3757;78
ta59.txt;18;50;20;3762;68
ta59.txt;19;50;20;3761;51
ta60.txt;0;50;20;3772;45
ta60.txt;1;50;20;3781;45
ta60.txt;2;50;20;3767;62
ta60.txt;3;50;20;3771;76
ta60.txt;4;50;20;3778;65
ta60.txt;5;50;20;3776;57
ta60.txt;6;50;20;3781;47
ta60.txt;7;50;20;3770;71
ta60.txt;8;50;20;3772;55
ta60.txt;9;50;20;3778;74
ta60.txt;10;50;20;3778;43
ta60.txt;11;50;20;3770;53
ta60.txt;12;50;20;3767;88
ta60.txt;13;50;20;3767;62
ta60.txt;14;50;20;3777;46
ta60.txt;15;50;20;3773;52
ta60.txt;16;50;20;3768;45
ta60.txt;17;50;20;3777;54
ta60.txt;18;50;20;3770;47
ta60.txt;19;50;20;3781;53
ta71.txt;0;100;10;5771;45
ta71.txt;1;100;10;5771;52
ta71.txt;2;100;10;5770;93
ta71.txt;3;100;10;5771;82
ta71.txt;4;100;10;5770;50
ta71.txt;5;100;10;5770;78
ta71.txt;6;100;10;5771;49
ta71.txt;7;100;10;5770;60
ta71.txt;8;100;10;5771;58
ta71.txt;9;100;10;5771;44
ta71.txt;10;100;10;5770;90
ta71.txt;11;100;10;5770;123
ta71.txt;12;100;10;5770;78
ta71.txt;13;100;10;5770;86
ta71.txt;14;100;10;5770;91
ta71.txt;15;100;10;5770;50
ta71.txt;16;100;10;5770;90
ta71.txt;17;100;10;5770;96
ta71.txt;18;100;10;5770;48
ta71.txt;19;100;10;5771;75
ta72.txt;0;100;10;5362;51
ta72.txt;1;100;10;5362;52
ta72.txt;2;100;10;5362;50
ta72.txt;3;100;10;5362;50
ta72.txt;4;100;10;5362;49
ta72.txt;5;100;10;5362;51
ta72.txt;6;100;10;5362;48
ta72.txt;7;100;10;5362;52
ta72.txt;8;100;10;5362;53
ta72.txt;9;100;10;5362;50
ta72.txt;10;100;10;5362;51
ta72.txt;11;100;10;5362;52
ta72.txt;12;100;10;5362;51
ta72.txt;13;100;10;5349;47
ta72.txt;14;100;10;5362;54
ta72.txt;15;100;10;5349;61
ta72.txt;16;100;10;5362;51
ta72.txt;17;100;10;5349;53
ta72.txt;18;100;10;5362;49
ta72.txt;19;100;10;5349;50
ta73.txt;0;100;10;5679;48
ta73.txt;1;100;10;5679;47
ta73.txt;2;100;10;5679;49
ta73.txt;3;100;10;5679;49
ta73.txt;4;100;10;5679;50
ta73.txt;5;100;10;5679;50
ta73.txt;6;100;10;5679;49
ta73.txt;7;100;10;5679;47
ta73.txt;8;100;10;5679;50
ta73.txt;9;100;10;5679;45
ta73.txt;10;100;10;5679;46
ta73.txt;11;100;10;5679;50
ta73.txt;12;100;10;5679;50
ta73.txt;13;100;10;5679;49
ta73.txt;14;100;10;5679;49
ta73.txt;15;100;10;5679;49
ta73.txt;16;100;10;5679;49
ta73.txt;17;100;10;5679;46
ta73.txt;18;100;10;5679;49
ta73.txt;19;100;10;5679;49
ta74.txt;0;100;10;5813;53
ta74.txt;1;100;10;5804;48
ta74.txt;2;100;10;5804;57
ta74.txt;3;100;10;5824;51
ta74.txt;4;100;10;5796;82
ta74.txt;5;100;10;5826;48
ta74.txt;6;100;10;5815;54
ta74.txt;7;100;10;5782;77
ta74.txt;8;100;10;5826;47
ta74.txt;9;100;10;5805;46
ta74.txt;10;100;10;5793;92
ta74.txt;11;100;10;5791;78
ta74.txt;12;100;10;5826;45
ta74.txt;13;100;10;5785;85
ta74.txt;14;100;10;5781;85
ta74.txt;15;100;10;5794;79
ta74.txt;16;100;10;5826;46
ta74.txt;17;100;10;5816;48
ta74.txt;18;100;10;5826;48
ta74.txt;19;100;10;5826;66
ta75.txt;0;100;10;5469;104
ta75.txt;1;100;10;5467;134
ta75.txt;2;100;10;5479;65
ta75.txt;3;100;10;5496;84
ta75.txt;4;100;10;5491;74
ta75.txt;5;100;10;5491;60
ta75.txt;6;100;10;5480;80
ta75.txt;7;100;10;5468;114
ta75.txt;8;100;10;5467;143
ta75.txt;9;100;10;5467;54
ta75.txt;10;100;10;5491;114
ta75.txt;11;100;10;5467;80
ta75.txt;12;100;10;5497;54
ta75.txt;13;100;10;5497;94
ta75.txt;14;100;10;5491;92
ta75.txt;15;100;10;5497;74
ta75.txt;16;100;10;5485;61
ta75.txt;17;100;10;5496;74
ta75.txt;18;100;10;5491;57
ta75.txt;19;100;10;5468;95
ta76.txt;0;100;10;5308;50
ta76.txt;1;100;10;5308;50
ta76.txt;2;100;10;5308;50
