file;run;n;m;objective;time
rec31.txt;8;50;10;4312;10
rec31.txt;9;50;10;4312;10
rec31.txt;10;50;10;4307;15
rec31.txt;11;50;10;4317;12
rec31.txt;12;50;10;4311;15
rec31.txt;13;50;10;4319;8
rec31.txt;14;50;10;4312;14
rec31.txt;15;50;10;4312;10
rec31.txt;16;50;10;4322;10
rec31.txt;17;50;10;4312;12
rec31.txt;18;50;10;4312;8
rec31.txt;19;50;10;4307;13
rec33.txt;0;50;10;4434;14
rec33.txt;1;50;10;4442;14
rec33.txt;2;50;10;4444;8
rec33.txt;3;50;10;4440;16
rec33.txt;4;50;10;4436;10
rec33.txt;5;50;10;4436;10
rec33.txt;6;50;10;4424;10
rec33.txt;7;50;10;4432;16
rec33.txt;8;50;10;4424;15
rec33.txt;9;50;10;4424;13
rec33.txt;10;50;10;4433;13
rec33.txt;11;50;10;4424;26
rec33.txt;12;50;10;4434;10
rec33.txt;13;50;10;4442;8
rec33.txt;14;50;10;4432;19
rec33.txt;15;50;10;4433;10
rec33.txt;16;50;10;4424;15
rec33.txt;17;50;10;4424;16
rec33.txt;18;50;10;4440;14
rec33.txt;19;50;10;4442;9
rec35.txt;0;50;10;4405;6
rec35.txt;1;50;10;4405;6
rec35.txt;2;50;10;4401;6
rec35.txt;3;50;10;4401;6
rec35.txt;4;50;10;4397;10
rec35.txt;5;50;10;4401;6
rec35.txt;6;50;10;4401;6
rec35.txt;7;50;10;4397;10
rec35.txt;8;50;10;4400;6
rec35.txt;9;50;10;4400;8
rec35.txt;10;50;10;4400;6
rec35.txt;11;50;10;4400;10
rec35.txt;12;50;10;4397;12
rec35.txt;13;50;10;4400;10
rec35.txt;14;50;10;4405;6
rec35.txt;15;50;10;4400;6
rec35.txt;16;50;10;4400;5
rec35.txt;17;50;10;4400;8
rec35.txt;18;50;10;4401;6
rec35.txt;19;50;10;4400;6
rec37.txt;0;75;20;8033;48
rec37.txt;1;75;20;8022;46
rec37.txt;2;75;20;8019;47
rec37.txt;3;75;20;8039;37
rec37.txt;4;75;20;8043;43
rec37.txt;5;75;20;8047;39
rec37.txt;6;75;20;8024;46
rec37.txt;7;75;20;8029;49
rec37.txt;8;75;20;8020;55
rec37.txt;9;75;20;8033;28
rec37.txt;10;75;20;8028;65
rec37.txt;11;75;20;8024;42
rec37.txt;12;75;20;8031;35
rec37.txt;13;75;20;8028;40
rec37.txt;14;75;20;8022;36
rec37.txt;15;75;20;8031;40
rec37.txt;16;75;20;8029;61
rec37.txt;17;75;20;8020;52
rec37.txt;18;75;20;8029;51
